CENTRALWAVELNG	BANDWIDTH	PL_TRANDEP	PL_TRANDEPERR1	PL_TRANDEPERR2	PL_TRANDEP_AUTHORS	PL_RATROR	PL_RATRORERR1	PL_RATRORERR2	PL_RATROR_AUTHORS	PL_RADJ	PL_RADJERR1	PL_RADJERR2	PL_RADJ_AUTHORS	PL_TRANMID	PL_TRANMIDERR1	PL_TRANMIDERR2	ST_RAD	ST_RADERR1	ST_RADERR2	ST_RAD_AUTHORS
3.7025	0.0075	2.0364	0.0088	-0.0088	Welbanks et al. 2024	0.1427	0.00031	-0.00031	Calculated	0.9304	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.7175	0.0075	2.0198	0.0085	-0.0085	Welbanks et al. 2024	0.14212	0.0003	-0.0003	Calculated	0.9266	0.0277	-0.0277	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.7325	0.0075	2.0372	0.0081	-0.0081	Welbanks et al. 2024	0.14273	0.00028	-0.00028	Calculated	0.9306	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.7475	0.0075	2.0281	0.008	-0.008	Welbanks et al. 2024	0.14241	0.00028	-0.00028	Calculated	0.9285	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.7625	0.0075	2.0305	0.0082	-0.0082	Welbanks et al. 2024	0.1425	0.00029	-0.00029	Calculated	0.9291	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.7775	0.0075	2.0284	0.0082	-0.0082	Welbanks et al. 2024	0.14242	0.00029	-0.00029	Calculated	0.9286	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.7925	0.0075	2.0171	0.0083	-0.0083	Welbanks et al. 2024	0.14202	0.00029	-0.00029	Calculated	0.926	0.0277	-0.0277	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.8075	0.0075	2.0242	0.0083	-0.0083	Welbanks et al. 2024	0.14227	0.00029	-0.00029	Calculated	0.9276	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.8225	0.0075	2.0242	0.0085	-0.0085	Welbanks et al. 2024	0.14227	0.0003	-0.0003	Calculated	0.9276	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.8375	0.0075	2.0329	0.0087	-0.0087	Welbanks et al. 2024	0.14258	0.0003	-0.00031	Calculated	0.9296	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.8525	0.0075	2.024	0.0085	-0.0085	Welbanks et al. 2024	0.14227	0.0003	-0.0003	Calculated	0.9276	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.8675	0.0075	2.0193	0.0092	-0.0092	Welbanks et al. 2024	0.1421	0.00032	-0.00032	Calculated	0.9265	0.0277	-0.0277	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.8825	0.0075	2.0196	0.0092	-0.0092	Welbanks et al. 2024	0.14211	0.00032	-0.00032	Calculated	0.9266	0.0277	-0.0277	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.8975	0.0075	2.027	0.009	-0.009	Welbanks et al. 2024	0.14237	0.00032	-0.00032	Calculated	0.9283	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.9125	0.0075	2.0292	0.0086	-0.0086	Welbanks et al. 2024	0.14245	0.0003	-0.0003	Calculated	0.9288	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.9275	0.0075	2.0351	0.0085	-0.0085	Welbanks et al. 2024	0.14266	0.0003	-0.0003	Calculated	0.9301	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.9425	0.0075	2.0312	0.0089	-0.0089	Welbanks et al. 2024	0.14252	0.00031	-0.00031	Calculated	0.9292	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
