# TWA 27b JWST emission spectrum
# NIRSpec binned from native sampling to R=400; MIRI rows unchanged from twa27b_JWST_em.txt
# NIRSpec errors remain the original convention of 3% assumed errors; errors not retrieved
# MIRI MRS (twa27-b_MIRI_MRS_bin100.txt): errors from data; offset_group MIRI is a free parameter
# Flux converted from Jy to erg/s/cm^2/cm (Flambda)
# lam_um  dlam_um  flux  flux_sigma  response_mode  offset_group
1.721645e+00  2.152056e-03  8.283132e-10  2.484940e-11  boxcar  NIRSpec
1.725955e+00  2.157442e-03  8.169767e-10  2.450930e-11  boxcar  NIRSpec
1.730275e+00  2.162843e-03  8.156107e-10  2.446832e-11  boxcar  NIRSpec
1.734606e+00  2.168257e-03  8.028458e-10  2.408537e-11  boxcar  NIRSpec
1.738948e+00  2.173684e-03  7.874311e-10  2.362293e-11  boxcar  NIRSpec
1.743301e+00  2.179125e-03  7.567686e-10  2.270306e-11  boxcar  NIRSpec
1.747665e+00  2.184580e-03  7.532951e-10  2.259885e-11  boxcar  NIRSpec
1.752039e+00  2.190048e-03  7.647618e-10  2.294285e-11  boxcar  NIRSpec
1.756425e+00  2.195530e-03  7.196032e-10  2.158810e-11  boxcar  NIRSpec
1.760821e+00  2.201026e-03  7.625443e-10  2.287633e-11  boxcar  NIRSpec
1.765229e+00  2.206535e-03  7.676890e-10  2.303067e-11  boxcar  NIRSpec
1.769648e+00  2.212058e-03  7.001936e-10  2.100581e-11  boxcar  NIRSpec
1.774077e+00  2.217595e-03  7.150003e-10  2.145001e-11  boxcar  NIRSpec
1.778518e+00  2.223146e-03  6.787219e-10  2.036166e-11  boxcar  NIRSpec
1.782970e+00  2.228711e-03  6.859811e-10  2.057943e-11  boxcar  NIRSpec
1.787433e+00  2.234290e-03  6.462564e-10  1.938769e-11  boxcar  NIRSpec
1.791907e+00  2.239883e-03  6.671686e-10  2.001506e-11  boxcar  NIRSpec
1.796392e+00  2.245489e-03  6.850064e-10  2.055019e-11  boxcar  NIRSpec
1.800889e+00  2.251110e-03  6.449007e-10  1.934702e-11  boxcar  NIRSpec
1.805397e+00  2.256745e-03  6.411193e-10  1.923358e-11  boxcar  NIRSpec
1.809916e+00  2.262394e-03  6.653123e-10  1.995937e-11  boxcar  NIRSpec
1.814446e+00  2.268057e-03  6.891203e-10  2.067361e-11  boxcar  NIRSpec
1.818988e+00  2.273734e-03  6.492210e-10  1.947663e-11  boxcar  NIRSpec
1.823541e+00  2.279426e-03  6.716527e-10  2.014958e-11  boxcar  NIRSpec
1.828106e+00  2.285131e-03  6.517498e-10  1.955249e-11  boxcar  NIRSpec
1.832682e+00  2.290851e-03  6.330464e-10  1.899139e-11  boxcar  NIRSpec
1.837269e+00  2.296586e-03  6.490742e-10  1.947223e-11  boxcar  NIRSpec
1.841868e+00  2.302334e-03  6.514283e-10  1.954285e-11  boxcar  NIRSpec
1.846479e+00  2.308097e-03  6.089417e-10  1.826825e-11  boxcar  NIRSpec
1.851101e+00  2.313875e-03  6.315487e-10  1.894646e-11  boxcar  NIRSpec
