# TWA 27b JWST emission spectrum
# NIRSpec (twa27b.txt): 3% assumed errors; errors not retrieved
# MIRI MRS (twa27-b_MIRI_MRS_bin100.txt): errors from data; offset_group MIRI is a free parameter
# Flux converted from Jy to erg/s/cm^2/cm (Flambda)
# lam_um  dlam_um  flux  flux_sigma  response_mode  offset_group
1.033487e+00  1.233000e-04  3.206567e-10  9.619701e-12  boxcar  NIRSpec
1.033733e+00  1.233000e-04  2.813599e-10  8.440797e-12  boxcar  NIRSpec
1.033980e+00  1.233000e-04  2.373544e-10  7.120633e-12  boxcar  NIRSpec
1.034227e+00  1.233000e-04  2.503139e-10  7.509418e-12  boxcar  NIRSpec
1.034473e+00  1.233000e-04  2.925621e-10  8.776862e-12  boxcar  NIRSpec
1.034720e+00  1.233000e-04  3.562976e-10  1.068893e-11  boxcar  NIRSpec
1.034966e+00  1.233000e-04  2.421059e-10  7.263177e-12  boxcar  NIRSpec
1.035213e+00  1.233000e-04  1.409947e-10  4.229842e-12  boxcar  NIRSpec
1.035460e+00  1.232750e-04  1.489121e-10  4.467363e-12  boxcar  NIRSpec
1.035706e+00  1.232750e-04  1.818411e-10  5.455233e-12  boxcar  NIRSpec
1.035953e+00  1.233000e-04  2.228817e-10  6.686451e-12  boxcar  NIRSpec
1.036199e+00  1.233000e-04  2.104734e-10  6.314203e-12  boxcar  NIRSpec
1.036446e+00  1.233000e-04  2.409510e-10  7.228530e-12  boxcar  NIRSpec
1.036693e+00  1.233000e-04  2.234639e-10  6.703918e-12  boxcar  NIRSpec
1.036939e+00  1.233000e-04  2.536700e-10  7.610099e-12  boxcar  NIRSpec
1.037186e+00  1.233000e-04  2.771651e-10  8.314954e-12  boxcar  NIRSpec
1.037432e+00  1.233000e-04  2.638066e-10  7.914198e-12  boxcar  NIRSpec
1.037679e+00  1.233000e-04  3.098262e-10  9.294785e-12  boxcar  NIRSpec
1.037926e+00  1.233000e-04  2.907997e-10  8.723991e-12  boxcar  NIRSpec
1.038172e+00  1.233000e-04  2.617453e-10  7.852359e-12  boxcar  NIRSpec
1.038419e+00  1.233000e-04  2.816570e-10  8.449709e-12  boxcar  NIRSpec
1.038665e+00  1.232750e-04  2.328263e-10  6.984790e-12  boxcar  NIRSpec
1.038912e+00  1.232750e-04  3.424006e-10  1.027202e-11  boxcar  NIRSpec
1.039158e+00  1.233000e-04  3.188771e-10  9.566313e-12  boxcar  NIRSpec
1.039405e+00  1.233000e-04  2.533812e-10  7.601435e-12  boxcar  NIRSpec
1.039652e+00  1.233000e-04  2.808215e-10  8.424646e-12  boxcar  NIRSpec
1.039898e+00  1.233000e-04  1.704973e-10  5.114919e-12  boxcar  NIRSpec
1.040145e+00  1.233000e-04  1.508721e-10  4.526162e-12  boxcar  NIRSpec
1.040391e+00  1.233000e-04  2.322085e-10  6.966256e-12  boxcar  NIRSpec
1.040638e+00  1.233000e-04  2.900030e-10  8.700090e-12  boxcar  NIRSpec
1.040885e+00  1.233000e-04  3.975208e-10  1.192563e-11  boxcar  NIRSpec
1.041131e+00  1.233000e-04  4.079803e-10  1.223941e-11  boxcar  NIRSpec
1.041378e+00  1.233000e-04  3.307806e-10  9.923418e-12  boxcar  NIRSpec
1.041624e+00  1.233000e-04  2.628963e-10  7.886890e-12  boxcar  NIRSpec
1.041871e+00  1.233000e-04  2.576911e-10  7.730732e-12  boxcar  NIRSpec
1.042118e+00  1.232750e-04  3.344650e-10  1.003395e-11  boxcar  NIRSpec
1.042364e+00  1.232750e-04  4.594092e-10  1.378228e-11  boxcar  NIRSpec
1.042611e+00  1.233000e-04  4.162886e-10  1.248866e-11  boxcar  NIRSpec
1.042857e+00  1.233000e-04  2.300109e-10  6.900328e-12  boxcar  NIRSpec
1.043104e+00  1.233000e-04  2.491699e-10  7.475098e-12  boxcar  NIRSpec
1.043351e+00  1.233000e-04  2.893737e-10  8.681210e-12  boxcar  NIRSpec
1.043597e+00  1.233000e-04  2.969297e-10  8.907892e-12  boxcar  NIRSpec
