#p (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            
1.5459277364e-07	1.0000000000e+03	2.0817349601e+12	1.1197109015e+12	2.3261536126e+00	2.9447843356e-04	2.4619989306e-07	4.9479772765e-04	9.9748121680e-16	5.5350571835e-13
1.5856239618e-07	1.0000000000e+03	2.1351896963e+12	1.1484627605e+12	2.3261537108e+00	2.9448048024e-04	2.4620159692e-07	4.9479774674e-04	1.0493583812e-15	5.6771867036e-13
1.6263395040e-07	1.0000000000e+03	2.1900170408e+12	1.1779529077e+12	2.3261538079e+00	2.9448247537e-04	2.4620325779e-07	4.9479776565e-04	1.1039337716e-15	5.8229658249e-13
1.6681005372e-07	1.0000000000e+03	2.2462522394e+12	1.2082003009e+12	2.3261539038e+00	2.9448441970e-04	2.4620487630e-07	4.9479778436e-04	1.1613477346e-15	5.9724882620e-13
1.7109339073e-07	1.0000000000e+03	2.3039314428e+12	1.2392243845e+12	2.3261539987e+00	2.9448631396e-04	2.4620645307e-07	4.9479780289e-04	1.2217479172e-15	6.1258501354e-13
1.7548671496e-07	1.0000000000e+03	2.3630917302e+12	1.2710451024e+12	2.3261540926e+00	2.9448815887e-04	2.4620798869e-07	4.9479782124e-04	1.2852896463e-15	6.2831500341e-13
1.7999285068e-07	1.0000000000e+03	2.4237711327e+12	1.3036829106e+12	2.3261541853e+00	2.9448995512e-04	2.4620948373e-07	4.9479783941e-04	1.3521363288e-15	6.4444890787e-13
1.8461469463e-07	1.0000000000e+03	2.4860086580e+12	1.3371587901e+12	2.3261542771e+00	2.9449170338e-04	2.4621093876e-07	4.9479785739e-04	1.4224598710e-15	6.6099709861e-13
1.8935521798e-07	1.0000000000e+03	2.5498443155e+12	1.3714942609e+12	2.3261543678e+00	2.9449340430e-04	2.4621235432e-07	4.9479787519e-04	1.4964411216e-15	6.7797021366e-13
1.9421746815e-07	1.0000000000e+03	2.6153191421e+12	1.4067113955e+12	2.3261544574e+00	2.9449505853e-04	2.4621373094e-07	4.9479789282e-04	1.5742703363e-15	6.9537916421e-13
