# wavelength_um  flux
2.3124781151e+00 8.9332523749e-10
2.3217280276e+00 5.2948430238e-10
2.3310149397e+00 5.2081230106e-10
2.3403389994e+00 5.9936259218e-10
2.3497003554e+00 6.3490111740e-10
2.3590991568e+00 7.5412710242e-10
2.3685355535e+00 7.2766981848e-10
2.3780096957e+00 6.6605896549e-10
2.3875217345e+00 7.6741201499e-10
2.3970718214e+00 8.9636912879e-10
2.4066601087e+00 1.0893641656e-09
2.4162867491e+00 1.2185740034e-09
2.4259518961e+00 1.2110014871e-09
2.4356557037e+00 1.2943484668e-09
2.4453983265e+00 1.3996456737e-09
2.4551799198e+00 1.5062445062e-09
2.4650006395e+00 1.6050601087e-09
2.4748606421e+00 1.5961785462e-09
2.4847600846e+00 1.7383720212e-09
2.4946991250e+00 1.8478911116e-09
2.5046779215e+00 1.9762898723e-09
2.5146966332e+00 1.8882567582e-09
2.5247554197e+00 2.0440042957e-09
2.5348544414e+00 2.0382739256e-09
2.5449938591e+00 2.0367703809e-09
2.5551738346e+00 2.1960277343e-09
2.5653945299e+00 1.6736943702e-09
2.5756561080e+00 2.2827561514e-09
2.5859587325e+00 1.8941708999e-09
2.5963025674e+00 1.8840095387e-09
2.6066877777e+00 2.0269537550e-09
2.6171145288e+00 2.2425027820e-09
2.6275829869e+00 2.6965589771e-09
2.6380933188e+00 2.9778855781e-09
2.6486456921e+00 3.0104544643e-09
2.6592402749e+00 2.8517868584e-09
2.6698772360e+00 1.7425403499e-09
2.6805567449e+00 1.6871098040e-09
2.6912789719e+00 1.7590304173e-09
2.7020440878e+00 2.0994459598e-09
2.7128522641e+00 1.9505658321e-09
2.7237036732e+00 1.7738846815e-09
2.7345984879e+00 2.0349350769e-09
2.7455368818e+00 1.8618790971e-09
2.7565190294e+00 1.6019583754e-09
2.7675451055e+00 1.2707167515e-09
2.7786152859e+00 1.4118608710e-09
2.7897297471e+00 1.2646561623e-09
2.8008886660e+00 1.2265267699e-09
2.8120922207e+00 1.2749504586e-09
2.8233405896e+00 1.2030659818e-09
2.8346339520e+00 1.2156219501e-09
2.8459724878e+00 1.3525532677e-09
2.8573563777e+00 1.3246951169e-09
2.8687858032e+00 1.2469262843e-09
2.8802609464e+00 1.4610931589e-09
2.8917819902e+00 1.4154131990e-09
2.9033491182e+00 1.3258771640e-09
2.9149625147e+00 1.4375964545e-09
2.9266223647e+00 1.4256230530e-09
2.9383288542e+00 1.6610727721e-09
2.9500821696e+00 1.4398082540e-09
2.9618824983e+00 1.4873870257e-09
2.9737300283e+00 1.5896444580e-09
2.9856249484e+00 1.6051624556e-09
2.9975674482e+00 1.1992427331e-09
3.0095577180e+00 7.9504091949e-10
3.0215959488e+00 1.3576339239e-09
3.0336823326e+00 1.6182711566e-09
